cage_id,treatment,eggmass_24h,eggmass_48h,other_eggs_24h,other_eggs_48h,total_eggmass,total_other_eggs,notes
1,no_drought,0,1,6,8,1,14,NA
1,drought,4,7,6,8,11,18,NA
2,no_drought,0,0,2,3,0,5,NA
2,drought,1,1,2,3,2,5,NA
3,no_drought,0,2,3,3,2,6,NA
3,drought,1,3,3,3,4,6,NA
4,no_drought,1,2,1,5,3,6,NA
4,drought,2,3,1,5,5,6,NA
5,no_drought,0,0,1,1,0,2,NA
5,drought,0,0,1,1,0,2,NA
6,no_drought,0,1,2,2,1,4,NA
6,drought,1,2,2,2,3,4,NA
7,no_drought,0,0,9,9,0,18,on the floor of the wind tunnel and cup
7,drought,0,0,9,9,0,18,on the floor of the wind tunnel and cup
8,no_drought,0,3,2,2,3,4,NA
8,drought,0,4,2,2,4,4,NA
9,no_drought,0,0,0,0,0,0,NA
9,drought,0,0,0,0,0,0,NA
10,no_drought,3,4,4,6,7,10,NA
10,drought,3,5,4,6,8,14,NA
11,no_drought,0,0,0,0,0,0,NA
11,drought,0,0,0,0,0,0,NA