plant_id,cage_id,treatment,eggmass_24h,eggmass_48h,,other_eggs_48h,total_eggmass,total_other_eggs,notes,,,other_eggs_24h
1,1,no_drought,0,0,,4,0,7,NA,,,3
9,1,no_drought,0,1,,4,1,7,NA,,,3
21,1,drought,2,3,,4,5,7,NA,,,3
29,1,drought,2,4,,4,6,7,NA,,,3
7,2,no_drought,0,0,,3,0,5,NA,,,2
28,2,drought,1,1,,3,2,5,NA,,,2
4,3,no_drought,0,2,,3,2,6,NA,,,3
16,3,drought,1,3,,3,4,6,NA,,,3
3,4,no_drought,1,2,,5,3,6,NA,,,1
26,4,drought,2,3,,5,5,6,NA,,,1
14,5,no_drought,0,0,,1,0,2,NA,,,1
22,5,drought,0,0,,1,0,2,NA,,,1
11,6,no_drought,0,1,,2,1,4,NA,,,2
24,6,drought,1,2,,2,3,4,NA,,,2
5,7,no_drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
6,7,no_drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
8,7,no_drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
18,7,drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
20,7,drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
23,7,drought,0,0,,3,0,6,on the floor of the wind tunnel and cup,,,3
12,8,no_drought,0,3,,2,3,4,NA,,,2
19,8,drought,0,4,,2,4,4,NA,,,2
2,9,no_drought,0,0,,0,0,0,NA,,,0
17,9,drought,0,0,,0,0,0,NA,,,0
10,10,no_drought,1,2,,3,3,5,NA,,,2
15,10,no_drought,2,2,,3,4,5,NA,,,2
25,10,drought,2,3,,3,5,5,NA,,,2
30,10,drought,1,2,,3,3,5,NA,,,2
13,11,no_drought,0,0,,0,0,0,NA,,,0
27,11,drought,0,0,,0,0,0,NA,,,0